,Category,Claim,Debunk_Date,Label,Source,Keywords,bow
0,Virus origin and properties,covid originated from wuhan  china,23/11/2020,True,WHO,"['covid', 'originated', 'wuhan', 'china']","{'china': 1, 'origin': 1, 'wuhan': 1}"
1,Virus origin and properties,covid was reported on           ,23/11/2020,True,WHO,"['covid', 'reported']",{'report': 1}
2,Virus origin and properties,symptom of covid is fever,23/11/2020,True,WHO,"['symptom', 'covid', 'fever']","{'fever': 1, 'symptom': 1}"
3,Virus origin and properties,symptom of covid is a dry cough,23/11/2020,True,WHO,"['symptom', 'covid', 'cough']","{'symptom': 1, 'cough': 1}"
4,Virus origin and properties,symptom of covid is fatigue,23/11/2020,True,WHO,"['symptom', 'covid', 'fatigue']",{'symptom': 1}
5,Virus origin and properties,less common symptom of covid is loss of taste,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'loss', 'taste']","{'symptom': 1, 'common': 1}"
6,Virus origin and properties,less common symptom of covid is loss of smell,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'loss', 'smell']","{'symptom': 1, 'common': 1}"
7,Virus origin and properties,less common symptom of covid is nasal congestion,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'nasal', 'congestion']","{'symptom': 1, 'common': 1}"
8,Virus origin and properties,less common symptom of covid is conjunctivitis red eyes,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'conjunctivitis']","{'symptom': 1, 'common': 1}"
9,Virus origin and properties,less common symptom of covid is sore throat,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'sore', 'throat']","{'symptom': 1, 'common': 1}"
10,Virus origin and properties,less common symptom of covid is headache,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'headache']","{'symptom': 1, 'common': 1}"
11,Virus origin and properties,less common symptom of covid is muscle joint pain,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'muscle', 'joint', 'pain']","{'symptom': 1, 'common': 1}"
12,Virus origin and properties,less common symptom of covid is skin rash,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'skin', 'rash']","{'symptom': 1, 'common': 1}"
13,Virus origin and properties,less common symptom of covid is nausea vomiting,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'nausea', 'vomiting']","{'symptom': 1, 'common': 1}"
14,Virus origin and properties,less common symptom of covid is diarrhea,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'diarrhea']","{'symptom': 1, 'common': 1}"
