Index,Category,Claim
0,Virus origin and properties,"Covid originated from Wuhan, China"
1,Virus origin and properties,Covid was reported on 31.12.2019
2,Virus origin and properties,Symptom of Covid is fever
3,Virus origin and properties,Symptom of Covid is a dry cough
4,Virus origin and properties,Symptom of Covid is fatigue
5,Virus origin and properties,Less common symptom of Covid is loss of taste
6,Virus origin and properties,Less common symptom of Covid is loss of smell
7,Virus origin and properties,Less common symptom of Covid is nasal congestion
8,Virus origin and properties,Less common symptom of Covid is conjunctivitis/red eyes
9,Virus origin and properties,Less common symptom of Covid is sore throat
10,Virus origin and properties,Less common symptom of Covid is headache
11,Virus origin and properties,Less common symptom of Covid is muscle/joint pain
12,Virus origin and properties,Less common symptom of Covid is skin rash
13,Virus origin and properties,Less common symptom of Covid is nausea/vomiting
14,Virus origin and properties,Less common symptom of Covid is diarrhea
15,Virus origin and properties,Less common symptom of Covid is chills/dizziness
16,Virus origin and properties,Severe Covid symptom - shortness of breath
17,Virus origin and properties,Severe Covid symptom - loss of appetite
18,Virus origin and properties,Severe Covid symptom - confusion
19,Virus origin and properties,Severe Covid symptom - persistent pain/pressure on chest
20,Virus origin and properties,Severe Covid symptom - high fever
21,Virus origin and properties,80% of people diagnosed with Covid recover
22,Virus origin and properties,Children can develop an inflammatory syndrome weeks after Covid infection
23,Virus origin and properties,Complications of Covid - respiratory failure
24,Virus origin and properties,Complications of Covid - acute respiratory distress syndrome
25,Virus origin and properties,Complications of Covid - sepsis / septic shock
26,Virus origin and properties,Complications of Covid - thromboembolism
27,Virus origin and properties,Complications of Covid - multiorgan failure
28,Virus origin and properties,People over 60 are high risk
29,Virus origin and properties,people with underlying medical problems are high risk
30,Virus origin and properties,"high blood pressure, heart problems, lung problems, obesity, cancer, immunity issues"
31,Virus origin and properties,Covid has no long-term effects in some cases
32,Virus origin and properties,Covid gives Chronic Fatigue in some cases
33,Virus transmission,"Physical distancing, masks, ventilation in rooms, personal hygiene."
34,"Vaccines, medical treatments, and tests",having symptoms = get tested
35,"Vaccines, medical treatments, and tests","While waiting for a test result, you should isolate"
36,"Vaccines, medical treatments, and tests",PCR is a molecular test
37,"Vaccines, medical treatments, and tests",Test samples are collected from the throat and nose.
38,"Vaccines, medical treatments, and tests","Tests confirm an active infection, within the first few days of exposure"
39,"Vaccines, medical treatments, and tests",Antigen tests are less accurate
40,"Vaccines, medical treatments, and tests",Antigen tests are best when the individual is most infectious.
41,"Vaccines, medical treatments, and tests",Antibody tests do not diagnose Covid
42,"Vaccines, medical treatments, and tests",Antibody tests tell if you had Covid in the past
43,"Vaccines, medical treatments, and tests",Quarantine means separating from others because you have been close to an infected person
44,"Vaccines, medical treatments, and tests",Isolation means you have tested positive and need to be isolated from others
45,"Vaccines, medical treatments, and tests",It takes 5-6 days to develop symptoms 
46,"Vaccines, medical treatments, and tests",Isolation should last 14 days if tested positive
47,"Vaccines, medical treatments, and tests","Covid vaccines - AstraZeneca, Moderna, Pfizer."
48,"Vaccines, medical treatments, and tests",Vaccines need to be approved by national regulators.
49,"Vaccines, medical treatments, and tests",Only AstraZeneca has been published in peer-reviewed literature.
50,"Vaccines, medical treatments, and tests",dexamethasone is an emergency steroid for severly ill Covid patients
51,"Vaccines, medical treatments, and tests","remdesivir, hydroxychloroquine, lopinavir/ritonavir and interferon regimens are not efficient treatments "
52,"Vaccines, medical treatments, and tests",antibiotics do not work against viruses
53,Virus origin and properties,"Covid is a virus, not a bacteria"
54,"Vaccines, medical treatments, and tests",Anti-bacterial treatments are not efficient
55,Virus transmission,Covid is spread through respiratory droplets or contact with contaminated surfaces.
56,Virus transmission,Pets can contract Covid
57,Medical advice and self-treatments,"Garlic slows down bacterial growth, not viral"
