,Claim,Keywords
0,Covid originated from Wuhan  China,"['covid', 'originated', 'wuhan', 'china']"
1,Covid was reported on           ,"['covid', 'reported']"
2,Symptom of Covid is fever,"['symptom', 'covid', 'fever']"
3,Symptom of Covid is a dry cough,"['symptom', 'covid', 'cough']"
4,Symptom of Covid is fatigue,"['symptom', 'covid', 'fatigue']"
5,Less common symptom of Covid is loss of taste,"['common', 'symptom', 'covid', 'loss', 'taste']"
6,Less common symptom of Covid is loss of smell,"['common', 'symptom', 'covid', 'loss', 'smell']"
7,Less common symptom of Covid is nasal congestion,"['common', 'symptom', 'covid', 'nasal', 'congestion']"
8,Less common symptom of Covid is conjunctivitis red eyes,"['common', 'symptom', 'covid', 'conjunctivitis']"
9,Less common symptom of Covid is sore throat,"['common', 'symptom', 'covid', 'sore', 'throat']"
10,Less common symptom of Covid is headache,"['common', 'symptom', 'covid', 'headache']"
11,Less common symptom of Covid is muscle joint pain,"['common', 'symptom', 'covid', 'muscle', 'joint', 'pain']"
12,Less common symptom of Covid is skin rash,"['common', 'symptom', 'covid', 'skin', 'rash']"
13,Less common symptom of Covid is nausea vomiting,"['common', 'symptom', 'covid', 'nausea', 'vomiting']"
14,Less common symptom of Covid is diarrhea,"['common', 'symptom', 'covid', 'diarrhea']"
15,Less common symptom of Covid is chills dizziness,"['common', 'symptom', 'covid', 'chill', 'dizziness']"
16,Severe Covid symptom   shortness of breath,"['severe', 'covid', 'symptom', 'shortness', 'breath']"
17,Severe Covid symptom   loss of appetite,"['severe', 'covid', 'symptom', 'loss', 'appetite']"
18,Severe Covid symptom   confusion,"['severe', 'covid', 'symptom', 'confusion']"
19,Severe Covid symptom   persistent pain pressure on chest,"['severe', 'covid', 'symptom', 'persistent', 'pain', 'pressure', 'chest']"
20,Severe Covid symptom   high fever,"['severe', 'covid', 'symptom', 'high', 'fever']"
21,    of people diagnosed with Covid recover,"['people', 'diagnosed', 'covid', 'recover']"
22,Children can develop an inflammatory syndrome weeks after Covid infection,"['child', 'develop', 'inflammatory', 'syndrome', 'week', 'covid', 'infection']"
23,Complications of Covid   respiratory failure,"['complication', 'covid', 'respiratory', 'failure']"
24,Complications of Covid   acute respiratory distress syndrome,"['complication', 'covid', 'acute', 'respiratory', 'distress', 'syndrome']"
25,Complications of Covid   sepsis   septic shock,"['complication', 'covid', 'sepsis', 'septic', 'shock']"
26,Complications of Covid   thromboembolism,"['complication', 'covid', 'thromboembolism']"
27,Complications of Covid   multiorgan failure,"['complication', 'covid', 'multiorgan', 'failure']"
28,People over    are high risk,"['people', 'high', 'risk']"
29,people with underlying medical problems are high risk,"['people', 'underlying', 'medical', 'problem', 'high', 'risk']"
30,high blood pressure  heart problems  lung problems  obesity  cancer  immunity issues,"['high', 'blood', 'pressure', 'heart', 'problem', 'lung', 'problem', 'obesity', 'cancer', 'immunity', 'issue']"
31,Covid has no long term effects in some cases,"['covid', 'long', 'term', 'effect', 'case']"
32,Covid gives Chronic Fatigue in some cases,"['covid', 'give', 'chronic', 'fatigue', 'case']"
33,Physical distancing  masks  ventilation in rooms  personal hygiene ,"['physical', 'distancing', 'mask', 'ventilation', 'room', 'personal', 'hygiene']"
34,having symptoms   get tested,"['symptom', 'tested']"
35,While waiting for a test result  you should isolate,"['while', 'waiting', 'test', 'result', 'isolate']"
36,PCR is a molecular test,"['molecular', 'test']"
37,Test samples are collected from the throat and nose ,"['test', 'sample', 'collected', 'throat', 'nose']"
38,Tests confirm an active infection  within the first few days of exposure,"['test', 'confirm', 'active', 'infection', 'within', 'first', 'exposure']"
39,Antigen tests are less accurate,"['antigen', 'test', 'accurate']"
40,Antigen tests are best when the individual is most infectious ,"['antigen', 'test', 'best', 'individual', 'infectious']"
41,Antibody tests do not diagnose Covid,"['antibody', 'test', 'diagnose', 'covid']"
42,Antibody tests tell if you had Covid in the past,"['antibody', 'test', 'tell', 'covid', 'past']"
43,Quarantine means separating from others because you have been close to an infected person,"['quarantine', 'mean', 'separating', 'others', 'close', 'infected', 'person']"
44,Isolation means you have tested positive and need to be isolated from others,"['isolation', 'mean', 'tested', 'positive', 'need', 'isolated', 'others']"
45,It takes     days to develop symptoms ,"['take', 'develop', 'symptom']"
46,Isolation should last    days if tested positive,"['isolation', 'last', 'tested', 'positive']"
47,Covid vaccines   AstraZeneca  Moderna  Pfizer ,"['covid', 'vaccine', 'astrazeneca', 'moderna', 'pfizer']"
48,Vaccines need to be approved by national regulators ,"['vaccine', 'need', 'approved', 'national', 'regulator']"
49,Only AstraZeneca has been published in peer reviewed literature ,"['only', 'astrazeneca', 'published', 'peer', 'reviewed', 'literature']"
50,dexamethasone is an emergency steroid for severly ill Covid patients,"['dexamethasone', 'emergency', 'steroid', 'severly', 'covid', 'patient']"
51,remdesivir  hydroxychloroquine  lopinavir ritonavir and interferon regimens are not efficient treatments ,"['remdesivir', 'hydroxychloroquine', 'lopinavir', 'ritonavir', 'interferon', 'regimen', 'efficient', 'treatment']"
52,antibiotics do not work against viruses,"['antibiotic', 'work', 'virus']"
53,Covid is a virus  not a bacteria,"['covid', 'virus', 'bacteria']"
54,Anti bacterial treatments are not efficient,"['anti', 'bacterial', 'treatment', 'efficient']"
55,Covid is spread through respiratory droplets or contact with contaminated surfaces ,"['covid', 'spread', 'respiratory', 'droplet', 'contact', 'contaminated', 'surface']"
56,Pets can contract Covid,"['contract', 'covid']"
57,Garlic slows down bacterial growth  not viral,"['garlic', 'slows', 'bacterial', 'growth', 'viral']"
58,This type of Covid started in animals,"['this', 'type', 'covid', 'started', 'animal']"
59,Many people are asymptomatic when they get Covid,"['many', 'people', 'asymptomatic', 'covid']"
60,Alcohol solutions can deactivate the virus on surfaces,"['alcohol', 'solution', 'deactivate', 'virus', 'surface']"
61,Coartem is not a COVID treatment,"['coartem', 'covid', 'treatment']"
62,Chinese state media claims Ghana s coronavirus cases have surpassed        with over     deaths   ,"['chinese', 'state', 'medium', 'claim', 'ghana', 'coronavirus', 'case', 'surpassed', 'death']"
63,ICMR issued a report claiming the number of people infected with thte coronavirus increased up to   Lakh if india did not announce a lockdown   ,"['icmr', 'issued', 'report', 'claiming', 'number', 'people', 'infected', 'thte', 'coronavirus', 'increased', 'lakh', 'india', 'announce', 'lockdown']"
64,Hindu man in Rajasthan killed by Muslims amidst lockdown   ,"['hindu', 'rajasthan', 'killed', 'muslim', 'amidst', 'lockdown']"
65,A WhatsApp forward  along with a video  is doing the rounds in which it is claimed that a person who belongs to the Tablighi Jamaat was kept in an isolation ward where he started wandering naked  The viral forward also claims that the person who was wandering naked did this vulgar act intentionally                 ,"['whatsapp', 'forward', 'along', 'round', 'claimed', 'person', 'belongs', 'tablighi', 'jamaat', 'kept', 'isolation', 'ward', 'started', 'wandering', 'naked', 'viral', 'forward', 'also', 'claim', 'person', 'wandering', 'naked', 'vulgar', 'intentionally']"
66,Industrialist Ratan Tata s view on economic downfall due to COVID      ,"['industrialist', 'ratan', 'tata', 'view', 'economic', 'downfall', 'covid']"
67,Mustard oil can kill coronavirus   ,"['mustard', 'kill', 'coronavirus']"
68,Photograph of a rail track from Colombo filled with wild flowers during current curfew period in Sri Lanka   ,"['photograph', 'rail', 'track', 'colombo', 'filled', 'wild', 'flower', 'current', 'curfew', 'period', 'lanka']"
69,Dr  Vandana Tiwari  part of the team investigating and identifying attendees of Tablighi Jamaat in U P s Bareilly who were attacked by them succumbed to her injuries today  ,"['vandana', 'tiwari', 'part', 'team', 'investigating', 'identifying', 'attendee', 'tablighi', 'jamaat', 'bareilly', 'attacked', 'succumbed', 'injury', 'today']"
70,Rs      notes scattered in Delhi to spread Coronavirus infection   ,"['note', 'scattered', 'delhi', 'spread', 'coronavirus', 'infection']"
71,Israel has no deaths from COVID     tea made of lemon and bicarbonate can cure coronavirus   ,"['israel', 'death', 'covid', 'made', 'lemon', 'bicarbonate', 'cure', 'coronavirus']"
72,Website link in order to activate     GB Free Internet Data   Rs     Talk time offer amid the COVID   situation in Sri Lanka   ,"['website', 'link', 'order', 'activate', 'free', 'internet', 'data', 'talk', 'time', 'offer', 'amid', 'covid', 'situation', 'lanka']"
73,Some Countries are dumping COVID    infected dead bodies in the sea  therefore be careful while consuming sea food   ,"['some', 'country', 'dumping', 'covid', 'infected', 'dead', 'body', 'therefore', 'careful', 'consuming', 'food']"
74,Dr Charles Lieber  chair of Harvard University s Chemistry and Chemical Biology Department was arrested for manufacturing and selling the Coronavirus to China   ,"['charles', 'lieber', 'chair', 'harvard', 'university', 'chemistry', 'chemical', 'biology', 'department', 'arrested', 'manufacturing', 'selling', 'coronavirus', 'china']"
75,A Facebook user shared a video that shows dead bodies being washed ashore at some unidentified beach   ,"['facebook', 'user', 'shared', 'show', 'dead', 'body', 'washed', 'ashore', 'unidentified', 'beach']"
76,Indian government will reduce employees  pension by     and terminate pensions offered to those who are above    as a way to divert funds towards managing health services and tackling the adverse impact of the new coronavirus pandemic   ,"['indian', 'government', 'reduce', 'employee', 'pension', 'terminate', 'pension', 'offered', 'divert', 'fund', 'towards', 'managing', 'health', 'service', 'tackling', 'adverse', 'impact', 'coronavirus', 'pandemic']"
77,The new coronavirus pH varies from     to      To defeat it  we need to consume more alkaline food   ,"['coronavirus', 'varies', 'defeat', 'need', 'consume', 'alkaline', 'food']"
78,Herd of Sri Lankan Sambar Deer s were seen freely gazing on a beach of Yala National Park  due to lack of human activity during current curfew period in Sri Lanka   ,"['herd', 'lankan', 'sambar', 'deer', 'seen', 'freely', 'gazing', 'beach', 'yala', 'national', 'park', 'lack', 'human', 'activity', 'current', 'curfew', 'period', 'lanka']"
79,   coronavirus patients have recovered in Ghana   ,"['coronavirus', 'patient', 'recovered', 'ghana']"
80,Indian government deploying the army in Telangana to curb the coronavirus situation  ,"['indian', 'government', 'deploying', 'army', 'telangana', 'curb', 'coronavirus', 'situation']"
81,Family starving for food commits suicide in India during lockdown   ,"['family', 'starving', 'food', 'commits', 'suicide', 'india', 'lockdown']"
82,All social media group admins are requested to close their groups for two days   ,"['social', 'medium', 'group', 'admins', 'requested', 'close', 'group']"
83,American citizens have placed a nude statue of President Donald Trump in New York City because he failed to handle the coronavirus situation in USA   ,"['american', 'citizen', 'placed', 'nude', 'statue', 'president', 'donald', 'trump', 'york', 'city', 'failed', 'handle', 'coronavirus', 'situation']"
84,In Karnataka all Hindus have decided to boycott Muslims because of their anti national activities   ,"['karnataka', 'hindu', 'decided', 'boycott', 'muslim', 'anti', 'national', 'activity']"
85,A video shows a fortune teller predicting the coronavirus pandemic in December on Spanish TV   ,"['show', 'fortune', 'teller', 'predicting', 'coronavirus', 'pandemic', 'december', 'spanish']"
86,A video shows that after drinking snake blood during training in Thailand  US soldiers went to Wuhan for the Military World Games  The US soldiers were the intermediate hosts of COVID      ,"['show', 'drinking', 'snake', 'blood', 'training', 'thailand', 'soldier', 'went', 'wuhan', 'military', 'world', 'game', 'soldier', 'intermediate', 'host', 'covid']"
87,President of Sri Lanka has contracted COVID      ,"['president', 'lanka', 'contracted', 'covid']"
88,A video of dozens of people praying outdoors shows Italians praying during the novel coronavirus pandemic   ,"['dozen', 'people', 'praying', 'outdoors', 'show', 'italian', 'praying', 'novel', 'coronavirus', 'pandemic']"
89,Some countries are throwing away bodies of coronavirus patients into the sea   ,"['some', 'country', 'throwing', 'away', 'body', 'coronavirus', 'patient']"
90,A post says that Barack Obama warned Africans not to accept European or American vaccines   ,"['barack', 'obama', 'warned', 'african', 'accept', 'european', 'american', 'vaccine']"
