misconception_id,misconception,tweet_id,label
3,Coronavirus is genetically engineered.,1.23397E+18,na
30,Blowing conch shells destroys coronavirus potency.,1.23391E+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.23391E+18,na
22,Cocaine cures coronavirus.,1.23395E+18,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.23394E+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.23396E+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.23392E+18,na
3,Coronavirus is genetically engineered.,1.23395E+18,na
40,Cannabis protects against COVID-19.,1.23394E+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.23392E+18,na
3,Coronavirus is genetically engineered.,1.23393E+18,pos
10,Coronavirus is caused by 5G.,1.23396E+18,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.23399E+18,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.23392E+18,na
3,Coronavirus is genetically engineered.,1.23398E+18,pos
61,Lions were freed to keep people off the streets in Moscow.,1.23392E+18,na
5,The first person infected is a researcher named Huang Yanling.,1.23399E+18,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.23397E+18,na
12,Methanol consumption cures or protects against coronavirus.,1.23392E+18,na
8,Vitamin C can prevent coronavirus circulation.,1.23392E+18,na
38,Shaking hands cannot spread coronavirus.,1.23398E+18,na
47,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1.23395E+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.23398E+18,na
5,The first person infected is a researcher named Huang Yanling.,1.23394E+18,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.23393E+18,neg
9,Africans are more resistant to coronavirus.,1.23394E+18,na
15,Coronavirus can only survive in cold temperatures.,1.23393E+18,na
8,Vitamin C can prevent coronavirus circulation.,1.23393E+18,na
33,Eating cabbage prevents coronavirus infection.,1.23392E+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.23393E+18,na
24,Coronavirus is cured by shuanghuanglian.,1.23399E+18,na
39,Salt water protects from coronavirus.,1.23392E+18,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,1.23395E+18,pos
40,Cannabis protects against COVID-19.,1.23391E+18,na
12,Methanol consumption cures or protects against coronavirus.,1.23395E+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.23392E+18,na
3,Coronavirus is genetically engineered.,1.23395E+18,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1.23397E+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.23395E+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.23392E+18,na
17,Avocado and mint tea cures coronavirus.,1.23397E+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.23393E+18,neg
25,Holy communion cannot be the cause of the spread of coronavirus,1.23395E+18,na
